UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType,AvgTimePerSession,EngagementPerVideo
1,56,1,Pakistan,82812,True,True,Engineer,1,2,80,17,4229,Pranks,24,7867,5,26,22,87,Night,3,7,Procrastination,Smartphone,Android,9:00 PM,5,5,Commuting,Mobile Data,4.705882352941177,357.59090909090907
2,46,0,Mexico,27999,False,True,Artist,0,2,228,14,2131,Pranks,19,5944,6,25,31,46,Afternoon,5,5,Habit,Computer,Android,5:00 PM,7,3,At school,Wi-Fi,16.285714285714285,191.74193548387098
3,32,0,United States,42436,False,True,Engineer,1,4,30,6,4367,Vlogs,19,8674,3,9,7,88,Evening,6,4,Entertainment,Tablet,Android,2:00 PM,8,2,At home,Mobile Data,5.0,1239.142857142857
4,60,1,Barzil,62963,True,False,Waiting staff,1,3,101,19,1507,Vlogs,4,2477,2,6,41,93,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,Commuting,Mobile Data,5.315789473684211,60.41463414634146
5,25,1,Pakistan,22096,False,True,Manager,0,1,136,6,2159,Gaming,19,3093,7,13,21,4,Morning,8,2,Boredom,Smartphone,iOS,8:00 AM,10,0,At home,Mobile Data,22.666666666666668,147.28571428571428
6,38,1,Vietnam,45279,False,False,driver,0,2,89,18,2917,Jokes/Memes,9,8534,5,27,16,38,Night,3,7,Entertainment,Computer,Android,9:00 PM,5,5,At home,Wi-Fi,4.944444444444445,533.375
7,56,1,India,46201,False,False,Students,1,1,247,5,3230,Vlogs,16,7207,9,22,20,63,Morning,8,2,Habit,Smartphone,Android,8:00 AM,10,0,At school,Wi-Fi,49.4,360.35
8,36,1,Barzil,39715,False,False,Engineer,1,2,191,6,9859,Entertainment,27,9654,3,28,43,29,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At home,Mobile Data,31.833333333333332,224.51162790697674
9,40,1,United States,49309,False,False,Waiting staff,1,2,34,2,6266,Vlogs,4,9394,8,20,44,19,Night,3,7,Entertainment,Computer,Android,9:00 PM,5,5,At home,Mobile Data,17.0,213.5
10,28,2,United States,35078,False,False,Students,1,3,165,8,4137,ASMR,6,9813,6,4,47,91,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data,20.625,208.7872340425532
